inside,里面,lyq mienh,裡面 (lei5 min6),内側 (うちがわ),innen,안,intérieur,interior,bên trong,binnen,innan,interior,interno,داخل (dakhil),внутри (vnutri),dalam,interior,içeri
up,向上,sjyangh djyangq,上 (soeng6),上へ (うえへ),hoch,위로,haut,arriba,lên,omhoog,upp,cima,su,فوق (fawq),вверх (vverkh),ke atas,summus,yukarı
down,下,ghaeq,下 (haa6),下 (した),unten,아래,vers le bas,abajo,xuống,beneden,ner,para baixo,giù,أسفل (asfal),вниз (vniz),bawah,deorsum,aşağı
left,左,tsaq,左 (zo2),左 (ひだり),links,왼쪽,gauche,izquierda,trái,links,vänster,esquerdo,sinistra,اليسار (al-yasar),слева (sleva),kiri,læva,sol
right,右,uq,右 (jau6),右 (みぎ),rechts,오른쪽,droit,derecha,phải,rechts,höger,direito,destra,اليمين (al-yameen),справа (sprava),kanan,dexter,sag
straight,直,dryk,直 (zik6),まっすぐ (massugu),gerade,곧장,droit,derecho,thẳng,rechtdoor,rakt,em linha reta,dritto,مستقيم (mustaqim),прямо (pryamo),langsung,rectus,düz
north,北,peok,北 (bak1),北 (きた),Norden,북,nord,norte,bắc,noord,norr,norte,nord,شمال (shamal),север (sever),utara,septentrion,şimal
south,南,nom,南 (naam4),南 (みなみ),Süden,남,sud,sur,nam,zuid,syd,sul,sud,جنوب (junub),юг (yug),selatan,meridies,güney
east,东,toung,東 (dung1),東 (ひがし),Osten,동,est,este,đông,oost,öst,leste,est,شرق (sharq),восток (vostok),timur,oriens,doğu
west,西,sej,西 (sai1),西 (にし),Westen,서,ouest,oeste,tây,westen,väst,oeste,ovest,غرب (gharb),запад (zapad),barat,occidens,batı
类 1 DKTZ - djy keen,cmn,tupa,yue,ja,de,ko,fr,es,vi,nl,sv,pt,it,ar,ru,ms,la,tr
slow,慢,maenh,慢 (maan6),遅い (おそい),langsam,느린,lent,lento,chậm,langzaam,långsam,lento,lento,بطيء (batee'),медленный,lambat,tardus,yavaş
fast,快,khwaejh,快 (faai3),速い (はやい),schnell,빠른,rapide,rápido,nhanh,snel,snabb,veloce,veloce,سريع (saree'),быстрый,cepat,citus,hızlı
new,新,sin,新 (san1),新しい (あたらしい),neu,새로운,nouveau,nuevo,mới,nieuw,ny,novo,nuovo,جديد (jadeed),новый,baru,novus,yeni
old (new),旧,guh,舊 (gau6),新しい (あたらしい),alt,새로운,vieux,nuevo,mới,oud,gammal,velho,vecchio (non nuovo),جديد (jadeed),новый,baru,novus,yeni
young,年轻,nen khiaengh,年青 (nin4 cing1),若い (わかい),jung,젊은,jeune,joven,trẻ,jong,ung,jovem,giovane,شاب (shab),молодой,muda,iuvenis,genç
old (young),老,lawq,老 (lou5),年をとる (としをとる),alt,늙은,vieux,viejo,già,oud,gammal,velho,vecchio,عجوز (ajooz),старый,tua,senex,yaşlı
类 1 DKTZ - sruoh lyangh,cmn,tupa,yue,ja,de,ko,fr,es,vi,nl,sv,pt,it,ar,ru,ms,la,tr
小类math/measurements,数学/测量,sruoh ghoeuk / tsrhyk lyang,數學/測量 (suk1 hok6/cak1 loeng4),数学/計測 (すうがく/けいそく),Mathematik/ Messung,수학/측정,math/mesure,matemáticas,toán học/đo lường,wiskunde/meting,matematik/mätning,matemática/mensuração,matematica/misurazione,رياضيات/قياس (riyadiyat/qiyas),математика/измерения,matematik/pengukuran,mathesis/mensura,matematik/ölçüm
meter,米,mejq,米 (mai5),メートル (めーとる),Meter,미터,mètre,metro,mét, meter,meter,metro,metro,متر (mitr),метр,meter,meter,meter
centimeter,厘米,ly mejq,厘米 (lei4 mai5),センチメートル (せんちめーとる),Zentimeter,센티미터,centimètre,centímetro,centimet,centimeter,centimeter,centimetro,centimetro,سنتيمتر (sentimetr),сантиметр,centimeter,centimeter,centimetre
kilogram,公斤,koung kynh,公斤 (gung1 gan1),キログラム (きろぐらむ),Kilogramm,킬로그램,kilogramme,kilogramo,kilôgam,kilogram,kilogram,kilogrammo,chilogrammo,كيلوجرام (kīlūjirām),килограмм,kilogram,kilogram,kilogram
inch,英寸,qyaeng tshonh,英寸 (jing1 cyun3),インチ (いんち),Zoll,인치,pouce,pulgada,inches,inch,tum,polegada,pollice,بوصة (būṣah),дюйм,inci,uncia,inch
foot,英尺,qyaeng tjhiaek,呎 (cing1 cek3),フィート (ふぃーと),Fuß,피트,pied,pie,foot,voet,fot,pé,pé,قدم (qadam),фут,kaki,pes,pied
pound,磅,phang,磅 (bong6),ポンド (ぽんど),Pfund,파운드,livre,libra,pound,pound,pund,libra,libbra,رطل (ratl),фунт,pound,pound,pound
half,半,panh,半 (bun3),半 (はん),halb,반,moitié,medio,nửa,half,hälft,metade,metà,نصف (nisf),половина,setengah,semi,half
circle,圆,zwien,圓 (jyun4),円 (えん),Kreis,원,cercle,círculo,hình tròn,cirkel,cirkel,círculo,circolo,دائرة (dāʼirah),круг,bulatan,circulus,daire
square,平方,byaeng puang,平方 (ping4 fong1),平方 (へいほう),Quadrat,제곱,carré,cuadrado,hình vuông,vierkant,kvadrat,quadrado,quadrato,مربع (murabbaʻ),квадрат,persegi,kvadratus,kare
temperature,温度,qon doh,溫度 (wan1 dou6),温度 (おんど),Temperatur,온도,température,temperatura,nhiệt độ,temperatuur,temperatur,temperatura,temperatura,درجة حرارة (darajat ḥarārah),температура,suhu,temperatura,ısı
date,日期,njit gy,日期 (jat6 jat6),日付 (ひづけ),Datum,날짜,date,fecha,ngày,datum,datum,data,data,تاريخ (tārīkh),дата,tarikh,data,tarih
weight,重量,druongq lyangh,重量 (zung6 loeng6),重さ (おもさ),Gewicht,무게,poids,peso,trọng lượng,gewicht,vikt,peso,peso,وزن (wazn),вес,berat,pondus,ağırlık
edge,边缘,pen jwien,邊緣 (bin1 jyun4),端 (はし),Kante,가장자리,bordes,borde,cạnh,rand,kant,borda,bordo,حافة (haafa),край,tepi,margo,kenar
corner,角落,koeuk lak,角落 (gok3 lok6),角 (かど),Ecke,구석,coin,esquina,góc,hoek,hörn,canto,angolo,زاوية (zāwiyah),угол,sudut,angulus,köşe
小类numbers,数字,sruoh dzyh,數字 (syu3 zi6),数字 (すうじ),Zahlen,숫자,nombres,números,số,getallen,siffror,números,numeri,أرقام (arqam),числа,angka,numeri,rakamlar
0,零,lengh,零 (ling4),零 (れい),null,영,zéro,cero,không,nul,noll,zero,zero,صفر (sifr),ноль (nol'),kosong,nulla,sıfır
1,一,qit,一 (jat1),一 (いち),eins,일,un,uno,một,één,ett,um,uno,واحد (wahid),один (odin),satu,unus,bir
2,二,njih,二 (ji6),二 (に),zwei,이,deux,dos,hai,twee,två,do,due,اثنان (ithnan),два (dva),dua,duo,iki
3,三,samh,三 (saam1),三 (さん),drei,삼,trois,tres,ba,drie,tre,três,tre,ثلاثة (thalatha),три (tri),tiga,tres,üç
4,四,sih,四 (sei3),四 (し),vier,사,quatre,cuatro,bốn,vier,fyra,quatro,quattro,أربعة (arba'a),четыре (chetyre),empat,quattuor,dört
5,五,ngoq,五 (ng5),五 (ご),fünf,오,cinq,cinco,năm,vijf,fem,cinque,cinque,خمسة (khamsah),пять (pyat'),lima,quinque,beş
6,六,luk,六 (luk6),六 (ろく),sechs,육,six,seis,sáu,zes,sex,sei,sei,ستة (sittah),шесть (shest'),enam,sex,altı
7,七,tshit,七 (cat1),七 (なな),sieben,칠,sept,siete,bảy,zeven,sju,sete,sette,سبعة (sab'ah),семь (sem'),tujuh,septem,yedi
8,八,peet,八 (baat3),八 (はち),acht,팔,huit,ocho,tám,acht,åtta,oito,otto,ثمانية (thamaniyah),восемь (vosem'),lapan,octo,sekiz
9,九,kuq,九 (gau2),九 (きゅう),neun,구,neuf,nueve,chín,negen,nio,nove,nove,تسعة (tis'ah),девять (devyat'),sembilan,novem,dokuz
10,十,djip,十 (sap6),十 (じゅう),zehn,십,dix,diez,mười,tien,tio,dez,dieci,عشرة (asharah),десять (desyat'),sepuluh,decem,on
11,十一,djip qit,十一 (sap6 jat1),十一 (じゅういち),elf,십일,onze,once,mười một,elf,elva,onze,undici,أحد عشر (ahad 'ashar),одиннадцать (odinnadtsat'),sebelas,undecim,onbir
12,十二,djip njih,十二 (sap6 ji6),十二 (じゅうに),zwölf,십이,douze,doce,mười hai,twaalf,tolv,doze,dodici,اثنا عشر (ithna 'ashar),двенадцать (dvenadtsat'),dua belas,duodecim,on iki
13,十三,djip sam,十三 (sap6 saam1),十三 (じゅうさん),dreizehn,십삼,treize,trece,mười ba,dertien,tretton,treze,tredici,ثلاثة عشر (thalathat 'ashar),тринадцать (trinadtsat'),tiga belas,tredecim,on üç
14,十四,djip sih,十四 (sap6 sei3),十四 (じゅうし),vierzehn,십사,quatorze,catorce,mười bốn,veertien,fjorton,quatorze,quattordici,أربعة عشر (arba'at 'ashar),четырнадцать (chetyrnadtsat'),empat belas,quattuordecim,on dört
15,十五,djip ngoq,十五 (sap6 ng5),十五 (じゅうご),fünfzehn,십오,quinze,quince,mười lăm,vijftien,femton,quinze,quindici,خمسة عشر (khamsat 'ashar),пятнадцать (pyatnadtsat'),lima belas,quindecim,on beş
16,十六,djip luk,十六 (sap6 luk6),十六 (じゅうろく),sechzehn,십육,seize,dieciséis,mười sáu,zestien,sexton,dezesseis,diciotto,ستة عشر (sittah 'ashar),шестнадцать (shestnadtsat'),enam belas,sexdecim,on altı
17,十七,djip tshit,十七 (sap6 cat1),十七 (じゅうしち),siebzehn,십칠,dix-sept,diecisiete,mười bảy,zeventien,sjutton,dezessete,diciassette,سبعة عشر (sab'ah 'ashar),семнадцать (semnadtsat'),tujuh belas,septendecim,on yedi
18,十八,djip peet,十八 (sap6 baat3),十八 (じゅうはち),achtzehn,십팔,dix-huit,dieciocho,mười tám,achttien,arton,dezoito,diciotto,ثمانية عشر (thamaniyat 'ashar),восемнадцать (vosemnadtsat'),lapan belas,duodeviginti,on sekiz
19,十九,djip kuq,十九 (sap6 gau2),十九 (じゅうく),neunzehn,십구,dix-neuf,diecinueve,mười chín,negentien,nitton,dezenove,diciannove,تسعة عشر (tis'ah 'ashar),девятнадцать (devyatnadtsat'),sembilan belas,undeviginti,on dokuz
20,二十,njih djip,二十 (ji6 sap6),二十 (にじゅう),zwanzig,스물,vingt,veinte,hai mươi,twintig,tjugo,vinte,venti,عشرون (ashrun),двадцать (dvadtsat'),dua puluh,viginti,yirmi
21,二十一,njih djip qit,二十一 (ji6 sap6 jat1),二十一 (にじゅういち),einundzwanzig,스물하나,vingt et un,veintiuno,hai mươi một,eenentwintig,tjugoen,vinte e um,ventuno,واحد وعشرون (wahid wa 'ashrun),двадцать один (dvadtsat' odin),dua puluh satu,viginti unus,yirmi bir
22,二十二,njih djip njih,二十二 (ji6 sap6 ji6),二十二 (にじゅうに),zweiundzwanzig,스물둘,vingt-deux,veintidós,hai mươi hai,tweeëntwintig,tjugotvå,vinte e dois,ventidue,اثنان وعشرون (ithnan wa 'ashrun),двадцать два (dvadtsat' dva),dua puluh dua,viginti duo,yirmi iki
30,三十,sam djip,三十 (saam1 sap6),三十 (さんじゅう),dreißig,서른,trente,treinta,ba mươi,dertig,trettio,trinta,trenta,ثلاثون (thalathun),тридцать (tridtsat'),tiga puluh,triginta,otuz
31,三十一,sam djip qit,三十一 (saam1 sap6 jat1),三十一 (さんじゅういち),einunddreißig,서른하나,trente et un,treinta y uno,ba mươi một,eenendertig,trettioett,trinta e um,trentuno,واحد وثلاثون (wahid wa thalathun),тридцать один (tridtsat' odin),tiga puluh satu,triginta unus,otuz bir
32,三十二,sam djip njih,三十二 (saam1 sap6 ji6),三十二 (さんじゅうに),zweiunddreißig,서른둘,trente-deux,treinta y dos,ba mươi hai,tweeëndertig,trettiotvå,trinta e dois,trentadue,اثنان وثلاثون (ithnan wa thalathun),тридцать два (tridtsat' dva),tiga puluh dua,triginta duo,otuz iki
40,四十,sih djip,四十 (sei3 sap6),四十 (しじゅう),vierzig,마흔,quarante,cuarenta,bốn mươi,veertig,fyrtio,quarenta,quaranta,أربعون (arba'un),сорок (sorok'),empat puluh,quadraginta,kırk
41,四十一,sih djip qit,四十一 (sei3 sap6 jat1),四十一 (しじゅういち),einundvierzig,마흔하나,quarante et un,cuarenta y uno,bốn mươi một,eenenveertig,fyrtioett,quarenta e um,quarantuno,واحد وأربعون (wahid wa arba'un),сорок один (sorok' odin),empat puluh satu,quadraginta unus,kırk bir
42,四十二,sih djip njih,四十二 (sei3 sap6 ji6),四十二 (しじゅうに),zweiundvierzig,마흔둘,quarante-deux,cuarenta y dos,bốn mươi hai,tweeënveertig,fyrtiotvå,quarenta e dois,quarantadue,اثنان وأربعون (ithnan wa arba'un),сорок два (sorok' dva),empat puluh dua,quadraginta duo,kırk iki
50,五十,ngoq djip,五十 (ng5 sap6),五十 (ごじゅう),fünfzig,쉰,cinquante,cincuenta,năm mươi,vijftig,femtio,cinquenta,cinquanta,خمسون (khamsun),пятьдесят (pyat'desyat'),lima puluh,quinquaginta,elli
51,五十一,ngoq djip qit,五十一 (ng5 sap6 jat1),五十一 (ごじゅういち),einundfünfzig,쉰하나,cinquante et un,cincuenta y uno,năm mươi một,eenenvijftig,femtioett,cinquenta e um,cinquantuno,واحد وخمسون (wahid wa khamsun),пятьдесят один (pyat'desyat' odin),lima puluh satu,quinquaginta unus,elli bir
52,五十二,ngoq djip njih,五十二 (ng5 sap6 ji6),五十二 (ごじゅうに),zweiundfünfzig,쉰둘,cinquante-deux,cincuenta y dos,năm mươi hai,tweeënvijftig,femtiotvå,cinquenta e dois,cinquantadue,اثنان وخمسون (ithnan wa khamsun),пятьдесят два (pyat'desyat' dva),lima puluh dua,quinquaginta duo,elli iki
60,六十,luk djip,六十 (luk6 sap6),六十 (ろくじゅう),sechzig,예순,soixante,sesenta,sáu mươi,zestig,sextio,sessenta,sessanta,ستون (sittun),шестьдесят (shest'desyat'),enam puluh,sexaginta,altmış
61,六十一,luk djip qit,六十一 (luk6 sap6 jat1),六十一 (ろくじゅういち),einundsechzig,예순하나,soixante et un,sesenta y uno,sáu mươi một,eenenzestig,sextioett,sessenta e um,sessantuno,واحد وستون (wahid wa sittun),шестьдесят один (shest'desyat' odin),enam puluh satu,sexaginta unus,altmış bir
62,六十二,luk djip njih,六十二 (luk6 sap6 ji6),六十二 (ろくじゅうに),zweiundsechzig,예순둘,soixante-deux,sesenta y dos,sáu mươi hai,tweeënzestig,sextiotvå,sessenta e dois,sessantadue,اثنان وستون (ithnan wa sittun),шестьдесят два (shest'desyat' dva),enam puluh dua,sexaginta duo,altmış iki
70,七十,tshit djip,七十 (cat1 sap6),七十 (ななじゅう),siebzig,칠십,soixante-dix,setenta,bảy mươi,zeventig,sjuttio,setenta,settanta,سبعون (sab'un),семьдесят (sem'desyat'),tujuh puluh,septuaginta,yetmiş
71,七十一,tshit djip qit,七十一 (cat1 sap6 jat1),七十一 (ななじゅういち),einundsiebzig,칠십하나,soixante et onze,setenta y uno,bảy mươi một,eenenzeventig,sjuttioett,setenta e um,settantuno,واحد وسبعون (wahid wa sab'un),семьдесят один (sem'desyat' odin),tujuh puluh satu,septuaginta unus,yetmiş bir
72,七十二,tshit djip njih,七十二 (cat1 sap6 ji6),七十二 (ななじゅうに),zweiundsiebzig,칠십둘,soixante-douze,setenta y dos,bảy mươi hai,tweeënzeventig,sjuttiotvå,setenta e dois,settantadue,اثنان وسبعون (ithnan wa sab'un),семьдесят два (sem'desyat' dva),tujuh puluh dua,septuaginta duo,yetmiş iki
80,八十,peet djip,八十 (baat3 sap6),八十 (はちじゅう),achtzig,팔십,quatre-vingts,ochenta,tám mươi,tachtig,åttio,oitenta,ottanta,ثمانون (thamaniyun),восемьдесят (vosem'desyat'),delapan puluh,octoginta,seksen
81,八十一,peet djip qit,八十一 (baat3 sap6 jat1),八十一 (はちじゅういち),einundachtzig,팔십하나,quatre-vingt-un,ochenta y uno,tám mươi một,eenentachtig,åttioett,oitenta e um,ottantuno,واحد وثمانون (wahid wa thamaniyun),восемьдесят один (vosem'desyat' odin),delapan puluh satu,octoginta unus,seksen bir
82,八十二,peet djip njih,八十二 (baat3 sap6 ji6),八十二 (はちじゅうに),zweiundachtzig,팔십둘,quatre-vingt-deux,ochenta y dos,tám mươi hai,tweeëntachtig,åttiottvå,oitenta e dois,ottantadue,اثنان وثمانون (ithnan wa thamaniyun),восемьдесят два (vosem'desyat' dva),delapan puluh dua,octoginta duo,seksen iki
90,九十,kuq djip,九十 (gau2 sap6),九十 (きゅうじゅう),neunzig,구십,quatre-vingt-dix,noventa,chín mươi,negentig,nittio,noventa,novanta,تسعون (tisa'un),девяносто (devyanosto),sembilan puluh,nonaginta,doksan
91,九十一,kuq djip qit,九十一 (gau2 sap6 jat1),九十一 (きゅうじゅういち),einundneunzig,구십하나,quatre-vingt-onze,noventa y uno,chín mươi một,eenennegentig,nittioett,noventa e um,novantuno,واحد وتسعون (wahid wa tisa'un),девяносто один (devyanosto odin),sembilan puluh satu,nonaginta unus,doksan bir
92,九十二,kuq djip njih,九十二 (gau2 sap6 ji6),九十二 (きゅうじゅうに),zweiundneunzig,구십둘,quatre-vingt-douze,noventa y dos,chín mươi hai,tweeënnegentig,nittiotvå,noventa e dois,novantadue,اثنان وتسعون (ithnan wa tisa'un),девяносто два (devyanosto dva),sembilan puluh dua,nonaginta duo,doksan iki
100,一百,qit paek,一百 (jat1 baak3),百 (ひゃく),hundert,백,cents,cien,một trăm,honderd,ett hundra,cem,cento,مئة (mi'ah),сто (sto),seratus,centum,yüz
101,一百一,qit paek qit,一百一 (jat1 baak3 jat1),百一 (ひゃくいち),hundert eins,백하나,cent un,ciento uno,một trăm một,honderd een,ett hundraett,cento e um,centouno,واحد مئة وواحد (wahid mi'ah wa wahid),сто один (sto odin),seratus satu,centum unus,yüz bir
102,一百二,qit paek njih,一百二 (jat1 baak3 ji6),百二 (ひゃくに),hundert zwei,백둘,cent deux,ciento dos,một trăm hai,honderd twee,ett hundratvå,cento e dois,centodue,اثنان مئة واثنان (ithnan mi'ah wa ithnan),сто два (sto dva),seratus dua,centum duo,yüz iki
110,一百一十,qit paek qit djip,一百十 (jat1 baak3 sap6),百十 (ひゃくじゅう),hundert zehn,백십,cent dix,ciento diez,một trăm mười,honderd tien,ett hundra tionde,cento e dez,centodieci,عشرة ومئة (ashara wa mi'ah),сто десять (sto desyat'),seratus sepuluh,centum decem,yüz on
111,一百一十一,qit paek qit djip qit,一百十一 (jat1 baak3 sap6 jat1),百十一 (ひゃくじゅういち),hundert elf,백십하나,cent onze,ciento once,một trăm mười một,honderd elf,ett hundraelva,cento e onze,centoundici,واحد مئة وأحد عشر (wahid mi'ah wa ahad 'ashar),сто одиннадцать (sto odinnadtsat'),seratus sebelas,centum undecim,yüz on bir
1000,一千,qit tshen,一千 (jat1 cin1),千 (せん),tausend,천,mille,mil,nghìn,duizend,tusen,mil,mille,ألف (alf),тысяча (tysyacha),seribu,millia,yüz bin
1001,一千一,qit tshen qit,一千一 (jat1 cin1 jat1),千一 (せんいち),tausend eins,천하나,mille un,mil uno,nghìn một,duizend een,tusen ett,mil e um,milleuno,ألف واحد (alf wahid),тысяча один (tysyacha odin),seribu satu,millia unus,yüz bin bir
10000,一萬,qit muonh,一万 (jat1 maan6),一万 (いちまん),zehntausend,만,vingt mille,diez mil,mười nghìn,tienduizend,tiotusen,dez mil,decem mille,عشرة ألف (ashara alf),десять тысяч (desyat' tysyach),sepuluh ribu,decem milia,yüz bin
100000,十萬,djip muonh,十万 (sap6 maan6),十万 (じゅうまん),hunderttausend,십만,cent mille,cien mil,một trăm nghìn,honderdduizend,hundratusen,cem mil,centomila,مئة ألف (mi'ah alf),сто тысяч (sto tysyach),seratus ribu,centum milia,yüz bin
million,百萬,paek muonh,百万 (baak3 maan6),百万 (ひゃくまん),Million,백만,million,millón,mil triệu,miljoen,miljon,milhão,milione,مليون (milyun),миллион (million),jutaan,unus millionem,yüz bin
billion,十億,djip qyk,十亿 (sap6 jik1),十億 (じゅうおく),Milliarde,십억,milliard,mil millones,tỷ tỷ,miljard,miljard,mil milhões,miliardo,بليون (bilyun),миллиард (milliard),milyar,unus milliarde,yüz milyar
1st,第一,dejh qit,第一 (dai6 jat1),第一 (だいいち),erste,첫째,premier,primero,thứ nhất,eerste,första,primeiro,primo,الأول (al-awwal),первый (pervyy),pertama,primus,ilk
2nd,第二,dejh njih,第二 (dai6 ji6),第二 (だいに),zweite,둘째,deuxième,segundo,thứ hai,tweede,andra,segundo,secondo,الثاني (ath-thani),второй (vtoroy),kedua,secundus,ikinci
3rd,第三,dejh samh,第三 (dai6 saam1),第三 (だいさん),dritte,셋째,troisième,tercero,thứ ba,derde,tredje,terceiro,terzo,الثالث (ath-thalith),третий (tretiy),ketiga,tertius,üçüncü
4th,第四,dejh sih,第四 (dai6 sei3),第四 (だいよん),vierte,넷째,quatrième,cuarto,thứ tư,vierde,fjärde,quarto,quarto,الرابع (ar-rabe'),четвёртый (chetvyortyy),keempat,quartus,dördüncü
5th,第五,dejh ngoq,第五 (dai6 ng5),第五 (だいご),fünfte,다섯째,cinquième,quinto,thứ năm,vijfde,femte,quinto,quinto,الخامس (al-khamis),пятый (pyatyy),kelima,quintus,beşinci
类 1 DKTZ - tjiq deojh,cmn,tupa,yue,ja,de,ko,fr,es,vi,nl,sv,pt,it,ar,ru,ms,la,tr
小类pronouns,代词,deojh zy,代詞 (doi6 ci4),代名詞 (だいめいし),Pronomen,대명사,pronoms,pronombres,đại từ,voornaamwoorden,pronomen,pronomes,pronomi,ضمائر (dama'ir),местоимения,kata ganti,zastanici,zaamirler
I,我,ngaq,我 (ngo5),私 (わたし),ich,나,je,yo,tôi,ik,jag,eu,io,أنا (ana),я,aku,ego,ben
you (singular),你,nryq,你 (nei5),あなた,du,너,tu,tú,bạn,jij,du,você,tu,أنت (anta),ты,kamu,tu,veter
he,他,tha,佢 (keoi5),彼 (かれ),er,그,il,él,anh,hij,han,ele,lui,هو (huwa),он,dia,is,o
she,她,tha,佢 (keoi5),彼女 (かのじょ),sie,그녀,elle,ella,cô,hij,zhon,ela,lei,هي (hiya),она,ia,ea,o
it,它,tha,佢 (keoi5),それ (sore),es,그것,il,ello,nó,het,det,ele,esso,هو (huwa),оно,ia,illud,o
we,我们,ngaq mon,我哋 (ngo5 dei6),私たち (わたしたち),wir,우리,nous,nosotros,chúng tôi,wij,vi,nós,noi,نحن (nahnu),мы,kita,nos,iz
you (plural),你们,nryq mon,你哋 (nei5 dei6),あなたたち,ihr,너희,vous,vosotros,các bạn,jullie,ni,vocês,voi,أنتم (antum),вы,kalian,vos,i
they,他们,tha mon,佢哋 (keoi5 dei6),彼ら (ひら),sie,그들,ils,ellos,họ,zij,de,elei,loro,هم (hum),они, mereka,ei,they
this,这,tjiaeq,呢个 (ne1 go3),これ (kore),dieses,이,ceci,este,đây,dit,denna,este,questo,هذا (hatha),это,ini,hic,şu
that,那,naq,嗰个 (go2 go3),それ (sore),das,그,cela,ese,đó,dat,det,aquele,quello,ذلك (dhalik),тот,itu,ille,o
these,这些,tjiaeq siae,呢啲 (ne1 di1),これら (korera),diese,이들,ces,estos,những này,deze,dessa,estes,questi,هؤلاء (hula'),эти,ini,hi,şunlar
those,那些,naq siae,嗰啲 (go2 di1),それら (sorera),diese,그들,ceux,aquellos,những kia,die,dessa,aqueles,quelli,تلك (tilka),те,itu,illi,şunlar
小类question words,疑问词,ngy munh zy,疑問詞 (ji4 man6 ci4),疑問詞 (ぎもんし),Fragepronomen,의문사,mots interrogatifs,pronombres interrogativos,từ để hỏi,vraagwoorden,frågeord,palavras interrogativas,parole interrogative,أدوات الاستفهام (adawat al-istifham),вопросительные слова,kata tanya,quaestione verba,soru kelimeleri
